temp_pass_rc,passreduction_th_rc_plan,passdiff_width_rc_plan,strength_yp,th_pass_plan,width_pass_rc,rollforce_plan,rollgap_plan,mill_modulus,dna_set,rollforce_rm,th_pass_rc
1108.0,-7.874,58.6,16.8,294.665,2266.6,1487.4,299.41,674.5,2.471,2012.3,294.701
1105.0,-11.887,101.9,17.0,282.8,2368.5,2238.7,286.24,674.5,2.471,2662.0,282.814
1098.0,-18.689,1.3,17.2,263.522,2369.8,2601.5,266.07,666.8,2.471,3096.2,264.125
1096.0,-18.631,1.3,17.4,244.844,2371.1,2671.3,246.99,666.9,2.471,3125.0,245.494
1093.0,-19.506,1.2,17.6,225.956,2372.3,3057.8,227.23,667.0,2.471,3122.2,225.988
1092.0,-18.744,1.4,17.8,207.245,2373.7,3055.2,208.24,667.1,2.471,3058.4,207.244
1089.0,-18.14,0.6,18.0,189.319,2374.3,3040.2,190.06,667.1,2.471,2943.6,189.104
1087.0,-17.289,1.3,18.2,171.964,2375.6,2991.1,172.52,667.2,2.471,2902.5,171.815
1083.0,-16.616,0.5,18.4,155.635,2376.1,2957.1,155.99,667.2,2.471,2721.4,155.199
1080.0,-15.487,1.1,18.6,140.063,2377.2,2930.2,140.22,667.3,2.471,2728.4,139.712
1077.0,-14.476,1.1,18.8,125.703,2378.3,2856.7,125.75,667.3,2.471,2587.9,125.236
1074.0,-13.292,1.0,19.0,112.277,2379.3,2734.0,112.3,667.4,2.471,2535.0,111.944
1069.0,-12.045,1.0,19.2,100.254,2380.3,2655.2,100.22,667.4,2.471,2428.6,99.899
1065.0,-10.745,0.8,19.4,89.375,2381.1,2542.9,89.34,667.5,2.471,2402.9,89.154
1059.0,-9.594,0.8,19.6,79.81,2381.9,2425.5,79.81,667.5,2.471,2259.9,79.56
1053.0,-8.089,0.6,19.8,71.447,2382.5,2168.6,71.7,667.6,2.471,2188.3,71.471
1044.0,-7.126,0.6,20.0,64.38,2383.1,2104.9,64.62,667.6,2.471,2077.9,64.345
851.0,-7.569,0.5,20.2,57.562,2383.6,3854.8,54.93,667.7,2.471,3322.2,56.776
845.0,-5.716,0.4,20.4,51.046,2384.0,3674.1,48.6,667.7,2.471,3520.4,51.06
838.0,-4.858,0.3,20.6,46.218,2384.3,3297.7,44.28,667.7,2.471,3517.2,46.202
828.0,-4.479,0.3,20.8,41.727,2384.6,3492.8,39.44,667.7,2.471,3624.7,41.723
820.0,-3.84,0.2,21.0,37.884,2384.8,3386.1,35.66,667.7,2.421,3545.9,37.883
808.0,-3.199,0.2,21.2,34.688,2385.0,3218.0,32.67,667.8,2.421,3275.9,34.684
796.0,-2.493,0.2,21.4,32.19,2385.2,2903.9,30.65,667.8,2.461,2889.3,32.191
1114.0,-7.622,56.8,21.8,294.752,2266.8,1627.8,299.38,695.4,2.471,2220.7,294.768
1111.0,-10.719,88.7,22.0,283.295,2355.5,2455.8,286.55,695.4,2.471,2948.3,284.049
1105.0,-18.169,1.1,22.2,265.12,2356.6,2495.1,267.87,666.1,2.471,3114.0,265.88
1102.0,-18.476,1.4,22.4,246.945,2358.0,2554.1,249.32,666.2,2.471,2956.8,247.404
1099.0,-21.795,1.3,22.6,225.541,2359.3,3253.3,226.53,666.3,2.471,3398.0,225.609
1097.0,-21.365,1.5,22.8,204.64,2360.8,3279.0,205.27,666.3,2.471,3106.0,204.244
1095.0,-20.441,0.7,23.0,184.212,2361.5,3264.0,184.55,666.4,2.471,3041.0,183.803
1093.0,-19.494,1.4,23.2,164.65,2362.9,3158.1,164.85,666.4,2.471,3015.9,164.309
1089.0,-18.27,0.7,23.4,146.462,2363.6,3119.9,146.44,666.5,2.471,2875.7,146.039
1087.0,-16.988,1.2,23.6,129.229,2364.8,2903.3,129.27,666.6,2.471,2852.5,129.051
1083.0,-15.561,1.2,23.8,113.776,2366.0,2862.1,113.64,666.6,2.471,2718.8,113.49
1080.0,-14.037,1.0,24.0,99.71,2367.0,2798.6,99.46,666.7,2.471,2690.4,99.453
1073.0,-12.357,1.0,24.2,87.321,2368.0,2685.7,87.05,666.8,2.471,2569.0,87.096
1068.0,-10.785,0.8,24.4,76.52,2368.8,2577.3,76.25,666.8,2.471,2475.5,76.311
867.0,-6.549,0.5,24.6,70.197,2369.3,2986.1,69.01,666.9,2.461,2695.6,69.762
864.0,-5.655,0.4,24.8,64.088,2369.7,3026.6,62.77,666.9,2.461,3042.3,64.107
860.0,-5.243,0.3,25.0,58.862,2370.0,3049.6,57.44,666.9,2.461,3200.6,58.864
857.0,-4.955,0.4,25.2,53.912,2370.4,3191.2,52.22,666.9,2.461,3243.1,53.909
851.0,-4.6,0.3,25.4,49.325,2370.7,3229.7,47.52,666.9,2.461,3270.1,49.309
848.0,-4.12,0.3,25.6,45.194,2371.0,3154.8,43.45,667.0,2.461,3189.8,45.189
841.0,-3.686,0.2,25.8,41.516,2371.2,3071.5,39.85,667.0,2.461,3128.4,41.503
835.0,-3.241,0.3,26.0,38.26,2371.5,2964.4,36.71,667.0,2.461,2984.4,38.262
1109.0,-23.522,1.5,26.4,278.518,2213.8,3098.0,280.51,657.9,2.461,2976.8,278.262
1108.0,-23.193,1.6,26.6,255.139,2215.4,3099.0,256.76,658.0,2.461,3089.8,255.069
1106.0,-22.672,1.4,26.8,232.689,2216.8,3098.8,233.97,658.1,2.461,2926.8,232.397
1104.0,-21.692,1.6,27.0,210.934,2218.4,3077.3,211.91,658.2,2.461,2953.8,210.705
1101.0,-21.03,1.3,27.2,190.153,2219.7,3075.1,190.82,658.3,2.461,2768.4,189.675
1099.0,-19.954,1.4,27.4,170.22,2221.1,3014.5,170.67,658.3,2.461,2728.2,169.721
1096.0,-18.433,1.2,27.6,151.559,2222.3,2765.8,152.1,658.4,2.461,2590.6,151.288
1093.0,-17.309,1.3,27.8,134.275,2223.6,2723.6,134.61,658.5,2.461,2555.6,133.979
1089.0,-15.806,1.3,28.0,118.169,2224.9,2571.6,118.49,658.6,2.461,2459.4,118.173
1085.0,-14.364,1.1,28.2,103.798,2226.0,2488.4,104.03,658.6,2.461,2450.8,103.809
1081.0,-12.906,1.0,28.4,90.901,2227.0,2436.6,91.07,658.7,2.521,2353.9,90.903
1076.0,-11.356,0.9,28.6,79.545,2227.9,2340.9,79.69,658.8,2.521,2311.2,79.547
1068.0,-9.931,0.8,28.8,69.609,2228.7,2282.5,69.68,658.8,2.521,2217.1,69.616
1061.0,-8.475,0.7,29.0,61.129,2229.4,2198.2,61.2,658.9,2.521,2181.8,61.141
1052.0,-7.326,0.7,29.2,53.801,2230.1,2208.9,53.74,658.9,2.521,2067.0,53.815
1041.0,-8.58,0.6,29.4,45.31,2230.7,2747.0,44.31,658.9,2.521,2682.0,45.235
1116.0,-18.255,1.2,29.8,284.102,2212.2,2351.6,287.39,657.8,2.521,2574.8,284.246
1113.0,-17.78,1.4,30.0,265.896,2213.6,2367.0,268.88,657.9,2.521,2875.8,266.466
1110.0,-22.273,0.0,30.2,244.513,2213.6,3103.5,246.04,658.0,2.521,3010.2,244.193
1108.0,-21.328,1.5,30.4,223.047,2215.1,3092.4,224.26,658.0,2.521,3080.2,222.865
1106.0,-20.849,1.4,30.6,202.605,2216.5,3078.9,203.52,658.1,2.521,2792.0,202.016
1103.0,-19.755,1.5,30.8,182.67,2218.0,3019.2,183.37,658.1,2.521,2840.1,182.261
1100.0,-18.756,1.1,31.0,164.002,2219.1,2906.3,164.58,658.2,2.521,2671.6,163.505
1097.0,-17.55,1.3,31.2,146.399,2220.4,2823.7,146.84,658.3,2.521,2612.1,145.955
1094.0,-16.227,1.3,31.4,130.251,2221.7,2756.8,130.54,658.4,2.521,2488.8,129.728
